crit,n_est,max_depth,max_feat,max_sampl,fs,accuracy
entropy,50,8,0.75,0.75,8434,0.5960244648318043
entropy,50,8,0.75,0.75,9434,0.5975535168195719
entropy,50,8,0.75,0.75,10434,0.6003058103975535
entropy,50,8,0.75,0.75,11434,0.6009174311926605
entropy,50,8,0.75,0.75,12434,0.5996941896024465
entropy,50,8,0.75,0.75,13434,0.6003058103975535
entropy,50,8,0.75,0.75,14434,0.5975535168195719
entropy,50,8,0.75,0.75,15434,0.5981651376146789
entropy,50,8,0.75,0.75,16434,0.5975535168195719
entropy,50,8,0.75,0.75,17434,0.5975535168195719
entropy,50,8,0.75,0.75,18434,0.5981651376146789
entropy,50,8,0.75,0.75,19434,0.5981651376146789
entropy,50,8,0.75,0.75,20434,0.6003058103975535
entropy,50,8,0.75,0.75,21434,0.5990825688073395
entropy,50,10,0.25,0.25,5434,0.6042813455657492
entropy,50,10,0.25,0.25,6434,0.6064220183486239
entropy,50,10,0.25,0.25,7434,0.6070336391437309
entropy,50,10,0.25,0.25,8434,0.6045871559633027
entropy,50,10,0.25,0.25,9434,0.6033639143730887
entropy,50,10,0.25,0.25,10434,0.6024464831804281
entropy,50,10,0.25,0.25,11434,0.6015290519877676
entropy,50,10,0.25,0.25,12434,0.6039755351681957
entropy,50,10,0.25,0.25,13434,0.6015290519877676
entropy,50,10,0.25,0.25,14434,0.6055045871559633
entropy,50,10,0.25,0.25,15434,0.6030581039755352
entropy,50,10,0.25,0.25,16434,0.6045871559633027
entropy,50,10,0.25,0.25,17434,0.6018348623853211
entropy,50,10,0.25,0.25,18434,0.6048929663608563
entropy,50,10,0.25,0.25,19434,0.599388379204893
entropy,50,10,0.25,0.25,20434,0.6009174311926605
entropy,50,10,0.25,0.25,21434,0.6055045871559633
entropy,50,10,0.25,0.5,5434,0.6058103975535168
entropy,50,10,0.25,0.5,6434,0.6067278287461774
entropy,50,10,0.25,0.5,7434,0.6033639143730887
entropy,50,10,0.25,0.5,8434,0.6012232415902141
entropy,50,10,0.25,0.5,9434,0.6039755351681957
entropy,50,10,0.25,0.5,10434,0.6055045871559633
entropy,50,10,0.25,0.5,11434,0.6039755351681957
entropy,50,10,0.25,0.5,12434,0.6003058103975535
entropy,50,10,0.25,0.5,13434,0.6061162079510704
entropy,50,10,0.25,0.5,14434,0.6024464831804281
